DATE,FIELD,FORMATION,WELL_NAME,OIL,WATER,GAS
7/31/1987,EULER,Athena,EUAT-1,2552.68457796,0,494349.66119
8/31/1987,EULER,Athena,EUAT-1,2553.49950207,0,494499.619273
9/30/1987,EULER,Athena,EUAT-1,2476.7461565,0,479594.759897
10/31/1987,EULER,Athena,EUAT-1,2528.39626732,0,996185.501872
11/30/1987,EULER,Athena,EUAT-1,2471.8965612,0,973924.676307
12/31/1987,EULER,Athena,EUAT-1,2526.29451547,0,995357.414172
1/31/1988,EULER,Athena,EUAT-1,2556.06305163,0,1007086.186414
2/29/1988,EULER,Athena,EUAT-1,2504.38339382,0,986724.454639
3/31/1988,EULER,Athena,EUAT-1,2403.90287269,0,947135.233836
4/30/1988,EULER,Athena,EUAT-1,2557.30781009,0,1007576.619863
5/31/1988,EULER,Athena,EUAT-1,2557.74546588,0,1007749.055632
6/30/1988,EULER,Athena,EUAT-1,2458.58345876,0,968679.328001
7/31/1988,EULER,Athena,EUAT-1,3559.67301525,0,1402507.46922
8/31/1988,EULER,Athena,EUAT-1,2537.5827301,0,1096232.848205
9/30/1988,EULER,Athena,EUAT-1,3682.34565633,0,1590769.1283
10/31/1988,EULER,Athena,EUAT-1,3748.35111156,0,1619283.40992
11/30/1988,EULER,Athena,EUAT-1,2691.1467099,0,1162572.312561
12/31/1988,EULER,Athena,EUAT-1,2648.4970776,0,1144147.720001
1/31/1989,EULER,Athena,EUAT-1,2442.79290189,0,1055283.750268
2/28/1989,EULER,Athena,EUAT-1,2564.03606107,0,1374319.70368
3/31/1989,EULER,Athena,EUAT-1,2832.25398412,0,1518084.13185
4/30/1989,EULER,Athena,EUAT-1,4042.57249,0,2166813.13981
5/31/1989,EULER,Athena,EUAT-1,2803.71507295,0,1502787.31548
6/30/1989,EULER,Athena,EUAT-1,3869.77429696,0,2074193.55308
7/31/1989,EULER,Athena,EUAT-1,3781.16859967,0,2026701.02404
8/31/1989,EULER,Athena,EUAT-1,0,0,0
9/30/1989,EULER,Athena,EUAT-1,2617.69877941,0,1403082.84479
10/31/1989,EULER,Athena,EUAT-1,3485.8708379,0,3283681.66984
11/30/1989,EULER,Athena,EUAT-1,3565.93618095,0,3359103.02321
12/31/1989,EULER,Athena,EUAT-1,3624.68853076,0,3414447.59073
1/31/1990,EULER,Athena,EUAT-1,3648.00347626,0,3436410.21119
2/28/1990,EULER,Athena,EUAT-1,3830.55947714,0,3608377.51054
3/31/1990,EULER,Athena,EUAT-1,3031.37374518,0,2522096.30431
4/30/1990,EULER,Athena,EUAT-1,2551.75696292,0,2199608.70151
5/31/1990,EULER,Athena,EUAT-1,3367.3332484,0,2902633.60387
6/30/1990,EULER,Athena,EUAT-1,2390.45927901,0,2060570.46437
7/31/1990,EULER,Athena,EUAT-1,2643.96982388,173.027037557,2279095.97795
8/31/1990,EULER,Athena,EUAT-1,0,0,0
9/30/1990,EULER,Athena,EUAT-1,0,0,0
10/31/1990,EULER,Athena,EUAT-1,0,0,0
